name,type,start_time,duration,"data"
"Async Serial","data",5.61210379,0.000123083333,0xFF
"Async Serial","data",5.61224712,0.000123083333,0xFF
"Async Serial","data",5.612377,0.000123083333,0xFF
"Async Serial","data",5.61250688,0.000123083333,0xFE
"Async Serial","data",5.61263679,0.000123083333,0x04
"Async Serial","data",5.61276667,0.000123083333,0x02
"Async Serial","data",5.61289658,0.000123083333,0x3B
"Async Serial","data",5.61302646,0.000123083333,0x02
"Async Serial","data",5.61315637,0.000123083333,0xBE
"Async Serial","data",5.61355229,0.000123083333,0xFF
"Async Serial","data",5.61369971,0.000123083333,0xFF
"Async Serial","data",5.61382933,0.000123083333,0xFF
"Async Serial","data",5.613959,0.000123083333,0x01
"Async Serial","data",5.61408862,0.000123083333,0x04
"Async Serial","data",5.61421825,0.000123083333,0x00
"Async Serial","data",5.61434792,0.000123083333,0x02
"Async Serial","data",5.61447758,0.000123083333,0x03
"Async Serial","data",5.61460725,0.000123083333,0xF5
"Async Serial","data",6.82604254,0.000123083333,0xFF
"Async Serial","data",6.82617242,0.000123083333,0xFF
"Async Serial","data",6.82630229,0.000123083333,0xFE
"Async Serial","data",6.82643221,0.000123083333,0x04
"Async Serial","data",6.82656208,0.000123083333,0x02
"Async Serial","data",6.82669196,0.000123083333,0x3B
"Async Serial","data",6.82682183,0.000123083333,0x02
"Async Serial","data",6.82695171,0.000123083333,0xBE
"Async Serial","data",6.82726592,0.000123083333,0xFF
"Async Serial","data",6.82739558,0.000123083333,0xFF
"Async Serial","data",6.82752525,0.000123083333,0x01
"Async Serial","data",6.82765492,0.000123083333,0x04
"Async Serial","data",6.82778458,0.000123083333,0x00
"Async Serial","data",6.82791425,0.000123083333,0x01
"Async Serial","data",6.82804392,0.000123083333,0xD3
"Async Serial","data",6.82817358,0.000123083333,0x26
"Async Serial","data",8.11015504,0.000123083333,0xFF
"Async Serial","data",8.11028496,0.000123083333,0xFF
"Async Serial","data",8.11041488,0.000123083333,0xFE
"Async Serial","data",8.11054479,0.000123083333,0x04
"Async Serial","data",8.11067471,0.000123083333,0x02
"Async Serial","data",8.11080463,0.000123083333,0x3B
"Async Serial","data",8.11093458,0.000123083333,0x02
"Async Serial","data",8.1110645,0.000123083333,0xBE
"Async Serial","data",8.11137904,0.000123083333,0xFF
"Async Serial","data",8.11150867,0.000123083333,0xFF
"Async Serial","data",8.11163829,0.000123083333,0x01
"Async Serial","data",8.11176796,0.000123083333,0x04
